time,open,high,low,close
-1183458600,44.39,54.68,40.56,53.89
-1180780200,54.94,77.01,52.4,73.16
-1178101800,73.67,81.39,64.27,71.56
-1175333400,71.21,72.63,57.67,61.9
-1172827800,60.22,68.27,55.94,56.35
-1170235800,58.02,62.89,55.58,60.26
-1167471000,59.29,65.28,58.87,60.9
-1164879000,59.08,60.89,49.68,51.39
-1162459800,52.54,64.56,50.25,55.4
-1159608600,55.69,75.2,55,73.1
-1157193000,77.79,91.33,75.61,88.11
-1154514600,89.1,100.48,86.48,98.14
-1151749800,103.77,110.53,84.45,90.77
-1149244200,92.7,105.6,89.61,102.41
-1146565800,103.66,107.68,92.44,94.24
-1143883800,92.99,100.58,83.57,88.16
-1141291800,89.62,101.94,86.83,98.14
-1138699800,98.89,103.97,93.7,98.67
-1136021400,100.36,110.06,96.26,107.22
-1133343000,108.95,111.93,102.21,103.46
-1130923800,103.18,105.99,97.41,100.31
-1128159000,101.96,107,100.31,100.49
-1125657000,100.62,101.36,89.1,94
-1122978600,91.79,101.11,91.7,95.75
-1120300200,94.8,99.35,84.58,88.05
-1117708200,90.57,95.59,86.32,92.86
-1114857000,92.3,94.05,85.72,92.49
-1112434200,90.41,96.36,89.84,93.36
-1109755800,93.46,103.51,92.79,102.94
-1106991000,101.92,104.46,98.93,104.04
-1104485400,104.51,106.71,99.54,101.69
-1101807000,101.53,108.29,99.95,102.38
-1099387800,103.27,103.59,95.95,100.78
-1096709400,101.23,111.52,99.75,109.45
-1094121000,108.71,117.62,107.82,110.64
-1091269800,111.45,121.3,110.15,118.36
-1088850600,118.82,127.04,117.8,126.23
-1086172200,125.85,129.97,124.28,127.35
-1083407400,127.27,135.34,126.43,131.92
-1080898200,131.51,142.08,126.95,139.74
-1078219800,141.31,149.42,139.99,142.34
-1075541400,140.72,145.13,138.33,144.13
-1072949400,144.13,150,141.55,149.49
-1070098200,150.62,155.69,148.32,152.53
-1067679000,154.08,159.87,149.65,156.34
-1065087000,158.96,163.07,141.53,145.67
-1062498600,147.07,153.57,144.18,152.64
-1059820200,152.84,161.15,148.52,157.69
-1057228200,158.38,168.23,154.85,164.86
-1054377000,165.32,170.15,160.52,166.29
-1051871400,166.35,170.72,164.82,167.82
-1049275800,168.26,178.44,167.54,177.15
-1046511000,176.67,186.39,175.35,183.22
-1044005400,182.05,183.59,175.31,179.9
-1041327000,177.72,187.8,176.96,184.74
-1038648600,186.61,191.39,184.85,187.17
-1036229400,187.68,195.59,179.28,186.41
-1033551000,185.19,186.63,168.77,174.27
-1030789800,174.59,176.91,166.2,174.71
-1028284200,171.59,175.4,163.31,169.32
-1025692200,170.13,185.15,169.13,184.01
-1022927400,186.91,189.94,175.09,177.41
-1020335400,173.08,176.11,146.22,154.57
-1017739800,153.89,155.11,115.84,138.48
-1015061400,135.94,137.01,112.54,123.48
-1012469400,122.11,131.15,117.71,120.85
-1009618200,120.57,134.95,118.94,121.87
-1007112600,123.97,132.86,117.13,129.64
-1004693400,130.47,131.03,97.46,98.95
-1002015000,103.02,121.54,100.95,111.66
-999340200,110.09,120.28,106.94,107.74
-996748200,110.61,138.19,107.58,133.88
-994156200,136.53,146.31,133.53,141.2
-991477800,140.37,145.89,135.38,139.27
-988799400,138.36,143.42,127.85,141.45
-986031000,144.29,155.38,142.64,151.73
-983525400,151.39,158.9,145.21,149.82
-980933400,148.63,154.94,146.44,154.36
-978168600,153.64,155.47,136.1,143.76
-975576600,142.43,148.16,141.92,147.3
-973157400,147.15,152.71,131.35,131.84
-970306200,132.25,135.57,120.04,128.38
-967890600,127.83,139.23,127.53,138.18
-965212200,136.2,140.75,128.97,130.63
-962447400,131.93,145.72,131.18,143.26
-959941800,143.36,145.75,128.6,134.41
-957263400,135.25,157.77,127.51,150.16
-954581400,151.41,155.95,148.73,151.88
-951989400,151.6,153.18,144.85,145.69
-949397400,146.54,150.7,145.51,149.99
-946719000,151.43,153.29,143.06,145.33
-944040600,145.23,150.04,144.69,146.54
-941535000,146.23,149.45,145.08,147.54
-938856600,147.72,152.09,145.86,148.43
-936268200,147.13,148.7,110.51,116.22
-933417000,114.73,125.31,110.41,122.06
-930997800,121.12,127.18,120.71,126.14
-928319400,126.13,129.18,120.9,128.88
-925554600,129.74,135.48,127.22,132.64
-923045400,134.33,135.86,129.47,134.61
-920367000,134.41,138.77,129.13,130.03
-917688600,130.93,133,127.83,131.13
-915096600,130.57,134.27,123.86,124.13
-912245400,122.67,125.27,117.43,121.97
-909826200,120.88,124.35,119.98,122.72
-907320600,123.26,125.28,115.33,115.54
-904732200,115.3,118.45,114.78,116.23
-901967400,116.18,125.14,115.52,123.14
-899461800,122.85,131.1,122.54,128.79
-896783400,128.22,128.68,124.66,127.43
