time,close
688953600,4.81
691545600,4.43
694224000,4.03
696902400,4.06
699408000,3.98
702086400,3.73
704678400,3.82
707356800,3.76
709948800,3.25
712627200,3.3
715305600,3.22
717897600,3.1
720576000,3.09
723168000,2.92
725846400,3.02
728524800,3.03
730944000,3.07
733622400,2.96
736214400,3
738892800,3.04
741484800,3.06
744163200,3.03
746841600,3.09
749433600,2.99
752112000,3.02
754704000,2.96
757382400,3.05
760060800,3.25
762480000,3.34
765158400,3.56
767750400,4.01
770428800,4.25
773020800,4.26
775699200,4.47
778377600,4.73
780969600,4.76
783648000,5.29
786240000,5.45
788918400,5.53
791596800,5.92
794016000,5.98
796694400,6.05
799286400,6.01
801964800,6
804556800,5.85
807235200,5.74
809913600,5.8
812505600,5.76
815184000,5.8
817776000,5.6
820454400,5.56
823132800,5.22
825638400,5.31
828316800,5.22
830908800,5.24
833587200,5.27
836179200,5.4
838857600,5.22
841536000,5.3
844128000,5.24
846806400,5.31
849398400,5.29
852076800,5.25
854755200,5.19
857174400,5.39
859852800,5.51
862444800,5.5
865123200,5.56
867715200,5.52
870393600,5.54
873072000,5.54
875664000,5.5
878342400,5.52
880934400,5.5
883612800,5.56
886291200,5.51
888710400,5.49
891388800,5.45
893980800,5.49
896659200,5.56
899251200,5.54
901929600,5.55
904608000,5.51
907200000,5.07
909878400,4.83
912470400,4.68
915148800,4.63
917827200,4.76
920246400,4.81
922924800,4.74
925516800,4.74
928195200,4.76
930787200,4.99
933465600,5.07
936144000,5.22
938736000,5.2
941414400,5.42
944006400,5.3
946684800,5.45
949363200,5.73
951868800,5.85
954547200,6.02
957139200,6.27
959817600,6.53
962409600,6.54
965088000,6.5
967766400,6.52
970358400,6.51
973036800,6.51
975628800,6.4
978307200,5.98
980985600,5.49
983404800,5.31
986083200,4.8
988675200,4.21
991353600,3.97
993945600,3.77
996624000,3.65
999302400,3.07
1001894400,2.49
1004572800,2.09
1007164800,1.82
1009843200,1.73
1012521600,1.74
1014940800,1.73
1017619200,1.75
1020211200,1.75
1022889600,1.75
1025481600,1.73
1028160000,1.74
1030838400,1.75
1033430400,1.75
1036108800,1.34
1038700800,1.24
1041379200,1.24
1044057600,1.26
1046476800,1.25
1049155200,1.26
1051747200,1.26
1054425600,1.22
1057017600,1.01
1059696000,1.03
1062374400,1.01
1064966400,1.01
1067644800,1
