Date,Raw,Pct,6m_pct_change,annualized_change
08/01/1996,166.0,0.0018105009052504784,0.012195121951219513,0.024390243902439025
09/01/1996,166.5,0.003012048192771122,0.012773722627737192,0.025547445255474383
10/01/1996,166.8,0.0018018018018017834,0.013365735115431453,0.026731470230862905
11/01/1996,167.2,0.0023980815347719453,0.013333333333333265,0.02666666666666653
12/01/1996,167.4,0.0011961722488038617,0.012091898428053204,0.02418379685610641
01/01/1997,167.8,0.002389486260454099,0.012673506336753307,0.025347012673506614
02/01/1997,168.1,0.0017878426698449967,0.01265060240963852,0.02530120481927704
03/01/1997,168.4,0.0017846519928614857,0.011411411411411446,0.022822822822822893
04/01/1997,168.9,0.002969121140142583,0.012589928057553922,0.025179856115107844
05/01/1997,169.2,0.001776198934280604,0.011961722488038277,0.023923444976076555
06/01/1997,169.4,0.0011820330969267712,0.01194743130227001,0.02389486260454002
07/01/1997,169.7,0.0017709563164107767,0.011323003575685204,0.02264600715137041
08/01/1997,169.8,0.0005892751915146377,0.01011302795954799,0.02022605591909598
09/01/1997,170.2,0.002355712603062221,0.010688836104512963,0.021377672209025925
10/01/1997,170.6,0.002350176263219872,0.01006512729425689,0.02013025458851378
11/01/1997,170.8,0.0011723329425556983,0.009456264775413847,0.018912529550827693
12/01/1997,171.2,0.0023419203747070405,0.01062573789846507,0.02125147579693014
01/01/1998,171.6,0.00233644859813098,0.011196228638774341,0.022392457277548683
02/01/1998,171.9,0.0017482517482518833,0.012367491166077705,0.02473498233215541
03/01/1998,172.2,0.0017452006980802626,0.011750881316098707,0.023501762632197415
04/01/1998,172.5,0.0017421602787457413,0.011137162954279049,0.022274325908558098
05/01/1998,172.9,0.002318840579710102,0.01229508196721308,0.02459016393442616
06/01/1998,173.2,0.001735106998264735,0.011682242990654207,0.023364485981308414
07/01/1998,173.5,0.0017321016166282899,0.011072261072261105,0.02214452214452221
08/01/1998,174.0,0.0028818443804035088,0.012216404886561921,0.024432809773123843
09/01/1998,174.2,0.0011494252873562871,0.011614401858304297,0.023228803716608595
10/01/1998,174.4,0.0011481056257176547,0.011014492753623222,0.022028985507246444
11/01/1998,174.8,0.002293577981651307,0.010989010989011021,0.021978021978022042
12/01/1998,175.4,0.003432494279176135,0.012702078521940052,0.025404157043880105
01/01/1999,175.6,0.0011402508551880963,0.012103746397694492,0.024207492795388984
02/01/1999,175.6,0.0,0.009195402298850542,0.018390804597701083
03/01/1999,175.7,0.0005694760820045275,0.008610792192881746,0.017221584385763492
04/01/1999,176.3,0.0034149117814457064,0.010894495412844069,0.021788990825688137
05/01/1999,176.5,0.0011344299489506326,0.009725400457665838,0.019450800915331676
06/01/1999,176.6,0.0005665722379604166,0.0068415051311287835,0.013683010262257567
07/01/1999,177.1,0.0028312570781428015,0.008542141230068337,0.017084282460136675
08/01/1999,177.3,0.001129305477131748,0.009681093394077547,0.019362186788155093
09/01/1999,177.8,0.0028200789622110367,0.01195219123505989,0.02390438247011978
10/01/1999,178.1,0.0016872890888637304,0.010209869540555774,0.020419739081111547
11/01/1999,178.4,0.0016844469399215356,0.01076487252124649,0.02152974504249298
12/01/1999,178.7,0.0016816143497757619,0.011891279728199288,0.023782559456398577
01/01/2000,179.3,0.003357582540570947,0.012422360248447301,0.024844720496894603
02/01/2000,179.4,0.000557724484104849,0.011844331641285923,0.023688663282571847
03/01/2000,180.0,0.0033444816053511683,0.012373453318335143,0.024746906636670285
04/01/2000,180.3,0.0016666666666667052,0.012352610892756974,0.02470522178551395
05/01/2000,180.7,0.002218524681086853,0.012892376681614253,0.025784753363228507
06/01/2000,181.1,0.0022136137244050946,0.01343033016228319,0.02686066032456638
07/01/2000,181.5,0.002208724461623346,0.012269938650306685,0.02453987730061337
08/01/2000,181.9,0.002203856749311228,0.013935340022296544,0.027870680044593088
09/01/2000,182.3,0.0021990104452995762,0.012777777777777841,0.025555555555555682
10/01/2000,182.6,0.001645639056500281,0.012756516916250599,0.025513033832501197
11/01/2000,183.1,0.0027382256297918683,0.01328168234643058,0.02656336469286116
12/01/2000,183.3,0.0010922992900055384,0.012147984538928864,0.024295969077857728
01/01/2001,183.9,0.003273322422258529,0.0132231404958678,0.0264462809917356
